Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\UserControls\StatisticsControl.xaml.cs,6,4,M:System.Windows.Controls.UserControl.#ctor,,,,,public StatisticsControl()      {          InitializeComponent();      }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\StatisticsControl.g.i.cs,41,104,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\UserControls\StatisticsControl.xaml.cs,4,41,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\InputControl.g.i.cs,58,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\InputControl.g.i.cs,58,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\InputControl.g.i.cs,55,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/SearchComparisonNet.GUI;V1.0.0.0;component/usercontrols/inputcontrol.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\InputControl.g.i.cs,55,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/SearchComparisonNet.GUI;V1.0.0.0;component/usercontrols/inputcontrol.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\UserControls\InputControl.xaml.cs,4,4,M:System.Windows.Controls.UserControl.#ctor,,,,,public InputControl()      {          InitializeComponent();      }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\UserControls\InputControl.xaml.cs,4,4,M:System.Windows.Controls.UserControl.#ctor,,,,,public InputControl()      {          InitializeComponent();      }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\InputControl.g.i.cs,41,99,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\UserControls\InputControl.xaml.cs,2,36,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\SimulationControl.g.i.cs,57,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\SimulationControl.g.i.cs,57,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\SimulationControl.g.i.cs,54,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/SearchComparisonNet.GUI;V1.0.0.0;component/usercontrols/simulationcontrol.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\SimulationControl.g.i.cs,54,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/SearchComparisonNet.GUI;V1.0.0.0;component/usercontrols/simulationcontrol.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\UserControls\SimulationControl.xaml.cs,6,4,M:System.Windows.Controls.UserControl.#ctor,,,,,public SimulationControl()      {          InitializeComponent();      }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\UserControls\SimulationControl.xaml.cs,6,4,M:System.Windows.Controls.UserControl.#ctor,,,,,public SimulationControl()      {          InitializeComponent();      }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\SimulationControl.g.i.cs,40,104,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\UserControls\SimulationControl.xaml.cs,4,41,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\StatusControl.g.i.cs,57,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\StatusControl.g.i.cs,57,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\UserControls\StatusControl.g.i.cs,54,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/SearchComparisonNet.GUI;V1.0.0.0;component/usercontrols/statuscontrol.xaml"", System.UriKind.Relative);"
